Unique_Name,Mass,Class,Family,Guild,Include
Papio cynocephalus,18400,MAMMALIA,CERCOPITHECIDAE,Omnivore,1
Paradoxurus hermaphroditus,3200,MAMMALIA,VIVERRIDAE,Omnivore,1
Paraxerus boehmi,70,MAMMALIA,SCIURIDAE,Herbivore,0
Paraxerus vexillarius,675,MAMMALIA,SCIURIDAE,Herbivore,1
Pardofelis marmorata,2459,MAMMALIA,FELIDAE,Carnivore,1
Pardofelis temminckii,12500,MAMMALIA,FELIDAE,Carnivore,1
Patagioenas plumbea,202,AVES,COLUMBIDAE,Herbivore,0
Pecari tajacu,21267,MAMMALIA,TAYASSUIDAE,Omnivore,1
Pellorneum capistratum,25.1,AVES,TIMALIIDAE,NA,0
Penelope jacquacu,1460,AVES,CRACIDAE,Herbivore,1
Penelope marail,899.5,AVES,CRACIDAE,Herbivore,0
Penelope pileata,1260,AVES,CRACIDAE,Herbivore,1
Penelope purpurascens,1750,AVES,CRACIDAE,Herbivore,1
Penelope superciliaris,1075,AVES,CRACIDAE,Herbivore,1
Petrodromus tetradactylus,188,MAMMALIA,MACROSCELIDIDAE,Insectivore,1
Phaethornis longirostris,6,AVES,TROCHILIDAE,Omnivore,0
Phataginus tricuspis,1800,MAMMALIA,MANIDAE,Insectivore,1
Philander andersoni,325,MAMMALIA,DIDELPHIDAE,Omnivore,1
Philander opossum,421,MAMMALIA,DIDELPHIDAE,Omnivore,1
Philantomba monticola,4600,MAMMALIA,BOVIDAE,Herbivore,1
Picathartes oreas,225,AVES,PICATHARTIDAE,Omnivore,1
Pithecia pithecia,1376,MAMMALIA,PITHECIIDAE,Herbivore,0
Pitta angolensis,72,AVES,PITTIDAE,Insectivore,0
Pitta guajana,100,AVES,PITTIDAE,Insectivore,0
Pitta moluccensis,76,AVES,PITTIDAE,Insectivore,0
Polyplectron bicalcaratum,737,AVES,PHASIANIDAE,Omnivore,1
Potamochoerus larvatus,48781,MAMMALIA,SUIDAE,Omnivore,1
Potamochoerus porcus,70000,MAMMALIA,SUIDAE,Omnivore,1
Presbytis melalophos,6300,MAMMALIA,CERCOPITHECIDAE,Herbivore,0
Presbytis siamensis,6600,MAMMALIA,CERCOPITHECIDAE,Herbivore,1
Priodontes maximus,45360,MAMMALIA,DASYPODIDAE,Insectivore,1
Prionailurus bengalensis,3300,MAMMALIA,FELIDAE,Carnivore,1
Prionodon linsang,700,MAMMALIA,PRIONODONTIDAE,Carnivore,1
Procolobus gordonorum,8329,MAMMALIA,CERCOPITHECIDAE,Herbivore,0
Procyon cancrivorus,6950,MAMMALIA,PROCYONIDAE,Carnivore,1
Procyon lotor,5525,MAMMALIA,PROCYONIDAE,Omnivore,1
Proechimys brevicauda,285,MAMMALIA,ECHIMYIDAE,Omnivore,1
Proechimys cuvieri,330,MAMMALIA,ECHIMYIDAE,Omnivore,1
Proechimys guyannensis,225,MAMMALIA,ECHIMYIDAE,Omnivore,1
Proechimys semispinosus,361,MAMMALIA,ECHIMYIDAE,Omnivore,1
Proechimys steerei,250,MAMMALIA,ECHIMYIDAE,Omnivore,1
Prolemur simus,2400,MAMMALIA,LEMURIDAE,Herbivore,0
Propithecus edwardsi,5900,MAMMALIA,INDRIIDAE,Omnivore,0
Protoxerus stangeri,592,MAMMALIA,SCIURIDAE,Herbivore,1
Psophia crepitans,1300,AVES,PSOPHIIDAE,Omnivore,1
Psophia leucoptera,1250,AVES,PSOPHIIDAE,Omnivore,1
Psophia viridis,1100,AVES,PSOPHIIDAE,Omnivore,1
Pteronura brasiliensis,24000,MAMMALIA,MUSTELIDAE,Carnivore,1
Puma concolor,51600,MAMMALIA,FELIDAE,Carnivore,1
Puma yagouaroundi,8400,MAMMALIA,FELIDAE,Carnivore,1
Rallus caerulescens,180,AVES,RALLIDAE,Omnivore,0
Rallus madagascariensis,114,AVES,RALLIDAE,Insectivore,0
Ramphastos tucanus,632,AVES,RAMPHASTIDAE,Omnivore,0
Rattus rattus,280,MAMMALIA,MURIDAE,Omnivore,1
Rhinosciurus laticaudatus,221,MAMMALIA,SCIURIDAE,Herbivore,1
Rhizomys sumatrensis,250,MAMMALIA,SPALACIDAE,Herbivore,1
Rhynchocyon cirnei,490,MAMMALIA,MACROSCELIDIDAE,Insectivore,1
Rhynchocyon udzungwensis,750,MAMMALIA,MACROSCELIDIDAE,Insectivore,1
Rollulus rouloul,217,AVES,PHASIANIDAE,Omnivore,1
Rusa unicolor,211620,MAMMALIA,CERVIDAE,Herbivore,1
Saimiri boliviensis,615,MAMMALIA,CEBIDAE,Insectivore,0
Saimiri sciureus,743,MAMMALIA,CEBIDAE,Insectivore,0
Sarothrura watersi,26.5,AVES,RALLIDAE,NA,0
Schistocichla leucostigma,25.6,AVES,THAMNOPHILIDAE,NA,0
Sciurus aestuans,185,MAMMALIA,SCIURIDAE,Herbivore,0
Sciurus granatensis,250,MAMMALIA,SCIURIDAE,Herbivore,1
Sciurus ignitus,190,MAMMALIA,SCIURIDAE,Herbivore,1
Sciurus igniventris,700,MAMMALIA,SCIURIDAE,Herbivore,1
Sciurus spadiceus,403,MAMMALIA,SCIURIDAE,Herbivore,1
Sciurus variegatoides,485,MAMMALIA,SCIURIDAE,Herbivore,0
Sciurus vulgaris,600,MAMMALIA,SCIURIDAE,Herbivore,0
Sciurus yucatanensis,225,MAMMALIA,SCIURIDAE,Herbivore,0
Sclerurus mexicanus,27,AVES,FURNARIIDAE,Insectivore,0
Setifer setosus,213,MAMMALIA,TENRECIDAE,Insectivore,1
Smutsia gigantea,12500,MAMMALIA,MANIDAE,Insectivore,1
Speothos venaticus,6000,MAMMALIA,CANIDAE,Carnivore,1
Sphiggurus mexicanus,2000,MAMMALIA,ERETHIZONTIDAE,Herbivore,0
Spizaetus ornatus,1225,AVES,ACCIPITRIDAE,Carnivore,0
Stiphrornis erythrothorax,15.6,AVES,MUSCICAPIDAE,NA,0
Sundasciurus hippurus,500,MAMMALIA,SCIURIDAE,Herbivore,1
Sundasciurus lowii,85,MAMMALIA,SCIURIDAE,Herbivore,0
Sundasciurus tenuis,75,MAMMALIA,SCIURIDAE,Herbivore,0
Sus scrofa,117286,MAMMALIA,SUIDAE,Omnivore,1
Sylvilagus brasiliensis,950,MAMMALIA,LEPORIDAE,Herbivore,1
Symphalangus syndactylus,12000,MAMMALIA,HYLOBATIDAE,Herbivore,0
Syncerus caffer,580003,MAMMALIA,BOVIDAE,Herbivore,1
