"Mass_c","LitterSize_c","GR_Area_c","ActivityCycle_c","Guild_c","m.Class[[i]]","m.Family[[i]]"
"Tinamus guttatus1",689,NA,NA,NA,"4","AVES","TINAMIDAE"
"Tinamus major2",1100,NA,NA,NA,"4","AVES","TINAMIDAE"
"Tinamus tao1",1674,NA,NA,NA,"4","AVES","TINAMIDAE"
"Crypturellus bartletti",241,NA,NA,NA,"4","AVES","TINAMIDAE"
"Hydrochoerus hydrochaeris",48145,3.49,12726191.09,"2","2","MAMMALIA","CAVIIDAE"
"Agelastes niger",1150,NA,NA,NA,"4","AVES","NUMIDIDAE"
"Atherurus africanus1",1934,1.5,5140711.56,"1","4","MAMMALIA","HYSTRICIDAE"
"Bdeogale nigripes",2500,1,3117248.8,"1","1","MAMMALIA","HERPESTIDAE"
"Canirallus oculeus",277,NA,NA,NA,"4","AVES","RALLIDAE"
"Cephalophus ogilbyi",20000,1,231511.16,"3","2","MAMMALIA","BOVIDAE"
"Cephalophus silvicultor1",72500,1,6018051.89,"2","2","MAMMALIA","BOVIDAE"
"Cercocebus torquatus",7750,1.01,362869.59,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Cercopithecus nictitans",5410,1,2185668.95,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Cricetomys emini1",1300,0.97,2945905.07,"1","4","MAMMALIA","NESOMYIDAE"
"Francolinus lathami",269,NA,NA,NA,"2","AVES","PHASIANIDAE"
"Funisciurus anerythrus",286,1.32,4317247.49,"3","2","MAMMALIA","SCIURIDAE"
"Funisciurus leucogenys",297,0.97,530067.11,NA,"2","MAMMALIA","SCIURIDAE"
"Funisciurus pyrropus",3200,1.26,3542071.4,"3","2","MAMMALIA","SCIURIDAE"
"Genetta servalina1",1055,1.5,3667035.54,"1","1","MAMMALIA","VIVERRIDAE"
"Herpestes naso",3000,NA,2499072.82,"1","4","MAMMALIA","HERPESTIDAE"
"Himantornis haematopus",390,NA,NA,NA,"4","AVES","RALLIDAE"
"Hyemoschus aquaticus",188500,1.22,2571576.3,"1","2","MAMMALIA","TRAGULIDAE"
"Loxodonta africana1",3940034,0.84,4233287.94,"3","2","MAMMALIA","ELEPHANTIDAE"
"Mandrillus leucophaeus",15000,1.01,106294.34,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Nandinia binotata1",2000,1.84,5977079.52,"1","4","MAMMALIA","NANDINIIDAE"
"Phataginus tricuspis1",1800,1,5968402.76,NA,"3","MAMMALIA","MANIDAE"
"Philantomba monticola",4600,0.98,6552145.69,"3","2","MAMMALIA","BOVIDAE"
"Picathartes oreas",225,NA,NA,NA,"4","AVES","PICATHARTIDAE"
"Potamochoerus porcus",70000,3,5033216.84,"2","4","MAMMALIA","SUIDAE"
"Turtur brehmeri",113,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Crossarchus obscurus",1395,4.29,438210.83,"3","4","MAMMALIA","HERPESTIDAE"
"Cabassous tatouay",5350,NA,4148382.28,NA,"3","MAMMALIA","DASYPODIDAE"
"Crax alector",3950,NA,NA,NA,"4","AVES","CRACIDAE"
"Crypturellus variegatus2",384,NA,NA,NA,"4","AVES","TINAMIDAE"
"Cuniculus paca3",8000,1.01,12381979.8,"1","2","MAMMALIA","CUNICULIDAE"
