"Plot","Cstorage"
"VB-.2009.01.VG-VB-3",155335.688361086
"VB-.2009.01.VG-VB-4",148256.661269928
"VB-.2009.01.VG-VB-5",153507.361656465
"VB-.2009.01.VG-VB-6",338498.359624399
"VB-.2009.01.VG-VB-7",106586.741473557
"VB-.2009.01.VG-VB-8",123833.505410403
"VB-.2010.01.VG-VB-1",124383.238027317
"VB-.2010.01.VG-VB-2",146942.515573333
"VB-.2010.01.VG-VB-3",153727.059774347
"VB-.2010.01.VG-VB-4",150070.85896271
"VB-.2010.01.VG-VB-5",153214.512566566
"VB-.2010.01.VG-VB-6",342748.817505544
"VB-.2010.01.VG-VB-7",107282.623432466
"VB-.2010.01.VG-VB-8",126840.794890361
"VB-.2010.01.VG-VB-9",150483.411762097
"VB-.2011.01.VG-VB-1",127398.957610867
"VB-.2011.01.VG-VB-2",149777.579681097
"VB-.2011.01.VG-VB-3",152864.915350939
"VB-.2011.01.VG-VB-4",149034.476974357
"VB-.2011.01.VG-VB-5",149170.832753966
"VB-.2011.01.VG-VB-6",342705.429306823
"VB-.2011.01.VG-VB-7",104788.820415157
"VB-.2011.01.VG-VB-8",126634.502572354
"VB-.2011.01.VG-VB-9",150863.994183143
"VB-.2012.01.VG-VB-1",122590.827488443
"VB-.2012.01.VG-VB-2",147540.468704618
"VB-.2012.01.VG-VB-3",152467.808765982
"VB-.2012.01.VG-VB-4",145600.361564358
"VB-.2012.01.VG-VB-5",149333.415045366
"VB-.2012.01.VG-VB-6",343521.574183751
"VB-.2012.01.VG-VB-7",103200.615821929
"VB-.2012.01.VG-VB-8",122556.74216423
"VB-.2012.01.VG-VB-9",147986.723892284
"VB-.2013.01.VG-VB-1",123697.917225311
"VB-.2013.01.VG-VB-2",148447.660409159
"VB-.2013.01.VG-VB-3",151932.047360116
"VB-.2013.01.VG-VB-4",147403.686778495
"VB-.2013.01.VG-VB-5",150064.599992505
"VB-.2013.01.VG-VB-6",346630.620304394
"VB-.2013.01.VG-VB-7",104395.293753079
"VB-.2013.01.VG-VB-8",123863.488701246
"VB-.2013.01.VG-VB-9",150583.867958735
"YAN.2011.01.VG-YAN-5",103683.743485289
"YAN.2012.01.VG-YAN-5",100923.406146756
"YAN.2013.01.VG-YAN-3",14131.7180590602
"YAN.2013.01.VG-YAN-5",101361.902065618
"YAN.2013.01.VG-YAN-6",21906.0035470131
"YAS.2012.01.VG-YAS-1",139101.908138812
"YAS.2012.01.VG-YAS-2",139095.395431723
"YAS.2012.01.VG-YAS-3",164857.039384367
"YAS.2012.01.VG-YAS-4",133730.350104498
"YAS.2012.01.VG-YAS-5",120839.620529853
"YAS.2012.01.VG-YAS-6",161353.518485429
"YAS.2013.01.VG-YAS-1",136684.351564513
"YAS.2013.01.VG-YAS-2",141033.328048753
"YAS.2013.01.VG-YAS-3",167837.525759124
"YAS.2013.01.VG-YAS-4",133426.188143167
"YAS.2013.01.VG-YAS-5",120317.638780836
"YAS.2013.01.VG-YAS-6",160949.286598325
